,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,diff_2022,recomm_2023,diff_2023,recomm_2024,diff_2024
186,Büsum,,,,,,,,,2.0,,,,,,
187,Cadempino,3.0,2.0,5.0,13.0,16.0,28.0,49.0,86.0,3.0,5.0,2.0,9.0,4.0,16.0,7.0
188,Cadro,,,,,,,,,1.0,,,,,,
189,Cagiallo,,,,,,,,,1.0,,,,,,
190,Camorino,,,,,,,,,3.0,,,,,,
191,Campello,,,,,,,,,1.0,,,,,,
192,Carona,,,,,,,,,1.0,,,,,,
193,Carouge,,,,,,,,,3.0,,,,,,
194,Caslano,2.0,5.0,5.0,7.0,16.0,29.0,52.0,93.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
195,Castel S. Pietro,,,,,,,,,1.0,,,,,,
196,Castione,,,,,,,,,3.0,,,,,,
197,Celerina/Schlarigna,4.0,3.0,6.0,9.0,11.0,15.0,21.0,28.0,3.0,4.0,1.0,6.0,2.0,8.0,2.0
198,Cernier,,,,,,,,,2.0,,,,,,
199,Cevio,1.0,1.0,3.0,7.0,10.0,19.0,38.0,73.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
200,Chailly-Montreux,,,,,,,,,1.0,,,,,,
201,Chalais,3.0,4.0,6.0,11.0,28.0,50.0,91.0,164.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
202,Cham,68.0,175.0,100.0,241.0,577.0,1147.0,2279.0,4529.0,16.0,32.0,16.0,64.0,32.0,127.0,63.0
203,Chamoson,5.0,10.0,18.0,23.0,49.0,88.0,159.0,287.0,3.0,5.0,2.0,9.0,4.0,16.0,7.0
204,Champagne,1.0,3.0,5.0,14.0,21.0,47.0,106.0,237.0,2.0,4.0,2.0,9.0,5.0,20.0,11.0
205,Champfèr,,,,,,,,,1.0,,,,,,
206,Champéry,0.0,1.0,2.0,3.0,9.0,inf,inf,inf,2.0,inf,inf,,,,
207,Chandolin,,,,,,,,,1.0,,,,,,
208,Chardonne,8.0,9.0,19.0,31.0,42.0,65.0,102.0,158.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
209,Charmey,,,,,,,,,2.0,,,,,,
210,Chatelaine,,,,,,,,,1.0,,,,,,
211,Chavannes-de-Bogis,2.0,3.0,4.0,10.0,19.0,34.0,62.0,112.0,3.0,5.0,2.0,9.0,4.0,16.0,7.0
212,Chavannes-près-Renens,2.0,4.0,5.0,7.0,14.0,23.0,39.0,64.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
213,Chavornay,0.0,2.0,8.0,18.0,36.0,inf,inf,inf,1.0,inf,inf,,,,
214,Cheseaux sur Lausanne,,,,,,,,,2.0,,,,,,
215,Cheseaux-sur-Lausanne,5.0,7.0,14.0,23.0,43.0,74.0,128.0,222.0,3.0,5.0,2.0,9.0,4.0,16.0,7.0
216,Chevroux,1.0,1.0,2.0,4.0,7.0,12.0,20.0,34.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
217,Chexbres,3.0,9.0,8.0,15.0,21.0,38.0,67.0,121.0,2.0,4.0,2.0,7.0,3.0,13.0,6.0
218,Cheyres,,,,,,,,,1.0,,,,,,
219,Chiasso,14.0,16.0,23.0,30.0,42.0,55.0,73.0,97.0,5.0,7.0,2.0,9.0,2.0,12.0,3.0
220,Chiggiogna,,,,,,,,,1.0,,,,,,
221,Chur,47.0,68.0,100.0,169.0,304.0,487.0,780.0,1249.0,13.0,21.0,8.0,34.0,13.0,54.0,20.0
222,Churwalden,0.0,1.0,2.0,4.0,12.0,inf,inf,inf,1.0,inf,inf,,,,
223,Château-d'Oex,4.0,4.0,7.0,4.0,15.0,27.0,47.0,83.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
224,Château-d’Œx,,,,,,,,,1.0,,,,,,
225,Châtel-Saint-Denis,7.0,9.0,15.0,25.0,54.0,92.0,155.0,263.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
226,Châtel-St-Denis,,,,,,,,,2.0,,,,,,
227,Châtelaine,,,,,,,,,4.0,,,,,,
228,Chêne-Bougeries,24.0,24.0,46.0,74.0,105.0,156.0,232.0,345.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
229,Chêne-Bourg,6.0,7.0,6.0,16.0,30.0,49.0,81.0,133.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
230,Claro,,,,,,,,,1.0,,,,,,
231,Cointrin,,,,,,,,,1.0,,,,,,
232,Coldrerio,4.0,5.0,7.0,17.0,21.0,33.0,52.0,83.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
233,Collombey,,,,,,,,,1.0,,,,,,
234,Collombey-Muraz,10.0,11.0,13.0,26.0,60.0,99.0,163.0,268.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
235,Collonge-Bellerive,28.0,33.0,45.0,66.0,105.0,147.0,206.0,288.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
236,Cologny,22.0,23.0,35.0,56.0,88.0,126.0,181.0,260.0,3.0,4.0,1.0,6.0,2.0,9.0,3.0
237,Colombier,,,,,,,,,1.0,,,,,,
238,Comano,14.0,12.0,14.0,18.0,28.0,34.0,41.0,50.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
239,Conthey,7.0,12.0,20.0,32.0,69.0,123.0,220.0,392.0,12.0,21.0,9.0,38.0,17.0,68.0,30.0
240,Corbières,3.0,4.0,5.0,11.0,17.0,27.0,43.0,67.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
241,Corcelles,,,,,,,,,1.0,,,,,,
242,Corcelles près Payerne,,,,,,,,,1.0,,,,,,
243,Corcelles-Cormondrèche,,,,,,,,,1.0,,,,,,
244,Corgémont,2.0,2.0,4.0,9.0,13.0,22.0,36.0,61.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
245,Corminboeuf,1.0,2.0,7.0,14.0,32.0,78.0,192.0,469.0,2.0,5.0,3.0,12.0,7.0,29.0,17.0
246,Cornaux,0.0,0.0,2.0,1.0,11.0,,,,1.0,,,,,,
247,Cortaillod,5.0,10.0,18.0,29.0,45.0,78.0,136.0,237.0,3.0,5.0,2.0,9.0,4.0,16.0,7.0
248,Cossonay-Ville,,,,,,,,,2.0,,,,,,
249,Courgevaux,3.0,3.0,4.0,7.0,15.0,23.0,36.0,57.0,4.0,6.0,2.0,9.0,3.0,14.0,5.0
250,Courrendlin,4.0,7.0,7.0,14.0,23.0,37.0,59.0,94.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
251,Courroux,2.0,2.0,4.0,6.0,19.0,36.0,70.0,134.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
252,Courtelary,2.0,2.0,4.0,5.0,10.0,16.0,24.0,38.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
253,Couvet,,,,,,,,,1.0,,,,,,
254,Crans-Montana,24.0,26.0,39.0,43.0,81.0,113.0,157.0,219.0,10.0,14.0,4.0,19.0,5.0,27.0,8.0
255,Cressier,,,,,,,,,1.0,,,,,,
256,Crissier,11.0,14.0,31.0,52.0,81.0,136.0,229.0,384.0,8.0,13.0,5.0,22.0,9.0,37.0,15.0
257,Cudrefin,3.0,2.0,3.0,10.0,19.0,35.0,65.0,120.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
258,Cully,,,,,,,,,3.0,,,,,,
259,Dallenwil,2.0,4.0,2.0,7.0,15.0,31.0,62.0,127.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
260,Davos,13.0,17.0,29.0,37.0,55.0,79.0,115.0,166.0,12.0,17.0,5.0,25.0,8.0,36.0,11.0
261,Davos Dorf,,,,,,,,,2.0,,,,,,
262,Davos Platz,,,,,,,,,4.0,,,,,,
263,Davos-Platz,,,,,,,,,1.0,,,,,,
264,Deitingen,5.0,6.0,14.0,18.0,27.0,43.0,67.0,106.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
265,Delémont,10.0,15.0,23.0,46.0,87.0,151.0,261.0,451.0,10.0,17.0,7.0,29.0,12.0,50.0,21.0
266,Derendingen,9.0,12.0,17.0,16.0,24.0,31.0,40.0,52.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0
267,Develier,2.0,2.0,3.0,8.0,20.0,38.0,73.0,141.0,3.0,6.0,3.0,12.0,6.0,23.0,11.0
268,Dielsdorf,375.0,738.0,297.0,240.0,208.0,210.0,213.0,215.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0
269,Diepoldsau,6.0,10.0,21.0,31.0,55.0,96.0,169.0,297.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
