,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,recomm_2023,recom_2024
185,Kerns,21,24,32,42,67,90.0,121.0,163.0,1.0,1.0,1.0,1.0
186,Lungern,1,2,3,4,9,16.0,28.0,50.0,1.0,2.0,4.0,7.0
187,Sachseln,12,17,28,39,47,67.0,94.0,133.0,1.0,1.0,1.0,1.0
188,Sarnen,24,37,47,79,107,156.0,229.0,334.0,1.0,1.0,1.0,1.0
189,Beckenried,9,11,20,25,37,53.0,77.0,111.0,3.0,4.0,6.0,9.0
190,Dallenwil,2,4,2,7,15,31.0,62.0,127.0,1.0,2.0,4.0,8.0
191,Emmetten,3,3,4,10,11,16.0,24.0,36.0,1.0,1.0,2.0,3.0
192,Ennetmoos,7,8,12,15,16,20.0,25.0,30.0,1.0,1.0,1.0,1.0
193,Stans,11,15,22,45,81,135.0,226.0,377.0,11.0,18.0,30.0,50.0
194,Stansstad,13,17,26,39,53,75.0,107.0,153.0,1.0,1.0,1.0,1.0
195,Wolfenschiessen,4,4,6,9,11,14.0,19.0,24.0,1.0,1.0,1.0,1.0
196,Glarus Süd,16,19,28,39,75,112.0,167.0,250.0,2.0,3.0,4.0,6.0
197,Glarus,16,23,29,46,76,113.0,167.0,248.0,7.0,10.0,15.0,22.0
198,Baar,71,85,141,187,290,416.0,596.0,854.0,62.0,89.0,128.0,183.0
199,Cham,68,175,100,241,577,1147.0,2279.0,4529.0,16.0,32.0,64.0,127.0
200,Hünenberg,25,30,51,76,125,189.0,285.0,429.0,2.0,3.0,5.0,8.0
201,Oberägeri,22,26,41,59,105,157.0,234.0,350.0,3.0,4.0,6.0,9.0
202,Risch,39,105,473,645,922,2303.0,5751.0,14364.0,3.0,7.0,17.0,42.0
203,Steinhausen,14,17,33,56,107,181.0,306.0,517.0,10.0,17.0,29.0,49.0
204,Unterägeri,15,27,34,57,80,123.0,188.0,289.0,1.0,2.0,3.0,5.0
205,Walchwil,14,18,28,38,52,72.0,101.0,140.0,1.0,1.0,1.0,1.0
206,Zug,125,172,232,333,471,656.0,915.0,1275.0,21.0,29.0,40.0,56.0
207,Le Châtelard,0,0,0,1,4,,,,1.0,,,
208,Ursy,1,4,5,11,30,76.0,194.0,494.0,1.0,3.0,8.0,20.0
209,Broc,1,0,1,2,9,inf,inf,inf,2.0,inf,,
210,Bulle,18,19,39,75,158,282.0,503.0,898.0,6.0,11.0,20.0,36.0
211,Corbières,3,4,5,11,17,27.0,43.0,67.0,1.0,2.0,3.0,5.0
212,Gruyères,1,1,4,6,9,18.0,36.0,72.0,1.0,2.0,4.0,8.0
213,Jaun,1,1,1,1,3,4.0,7.0,10.0,1.0,1.0,2.0,3.0
214,Riaz,5,5,7,10,19,27.0,39.0,56.0,1.0,1.0,1.0,1.0
215,La Roche,4,4,6,9,13,18.0,24.0,33.0,3.0,4.0,5.0,7.0
216,Belfaux,2,2,5,10,12,20.0,34.0,56.0,1.0,2.0,3.0,5.0
217,Corminboeuf,1,2,7,14,32,78.0,192.0,469.0,2.0,5.0,12.0,29.0
218,Fribourg,26,35,57,88,135,204.0,309.0,468.0,11.0,17.0,26.0,39.0
219,Givisiez,7,5,6,13,23,34.0,49.0,72.0,1.0,1.0,1.0,1.0
220,Granges-Paccot,11,11,15,24,41,58.0,82.0,117.0,4.0,6.0,8.0,11.0
221,Marly,11,12,20,35,66,105.0,169.0,269.0,7.0,11.0,18.0,29.0
222,Matran,7,6,8,14,24,34.0,48.0,68.0,1.0,1.0,1.0,1.0
223,Le Mouret,3,3,9,17,32,62.0,121.0,235.0,1.0,2.0,4.0,8.0
224,Villars-sur-Glâne,19,24,33,54,84,122.0,178.0,260.0,7.0,10.0,15.0,22.0
225,Courgevaux,3,3,4,7,15,23.0,36.0,57.0,4.0,6.0,9.0,14.0
226,Kerzers,11,13,21,29,41,57.0,80.0,112.0,2.0,3.0,4.0,6.0
227,Murten,21,25,31,55,112,175.0,273.0,425.0,8.0,12.0,19.0,30.0
228,Düdingen,17,21,32,42,68,97.0,138.0,196.0,1.0,1.0,1.0,1.0
229,Bösingen,2,3,8,15,24,46.0,88.0,167.0,2.0,4.0,8.0,15.0
230,Plaffeien,3,4,6,8,15,23.0,34.0,52.0,2.0,3.0,4.0,6.0
231,Tafers,7,14,24,33,49,81.0,132.0,218.0,1.0,2.0,3.0,5.0
232,Wünnewil-Flamatt,5,11,13,15,27,43.0,68.0,107.0,1.0,2.0,3.0,5.0
233,Attalens,4,6,13,26,37,66.0,116.0,206.0,2.0,4.0,7.0,12.0
234,Bossonnens,3,8,12,17,23,40.0,69.0,120.0,2.0,3.0,5.0,9.0
235,Châtel-Saint-Denis,7,9,15,25,54,92.0,155.0,263.0,2.0,3.0,5.0,8.0
236,Egerkingen,4,4,7,11,27,46.0,77.0,131.0,2.0,3.0,5.0,9.0
237,Oensingen,8,7,26,41,51,94.0,175.0,324.0,10.0,18.0,34.0,63.0
238,Messen,4,3,4,7,14,20.0,30.0,43.0,1.0,1.0,2.0,3.0
239,Dornach,13,19,31,46,79,124.0,196.0,308.0,1.0,2.0,3.0,5.0
240,Niedergösgen,5,10,13,19,28,44.0,68.0,106.0,1.0,2.0,3.0,5.0
241,Winznau,1,1,2,5,8,14.0,25.0,45.0,1.0,2.0,4.0,7.0
242,Biberist,5,8,18,34,45,79.0,140.0,248.0,2.0,4.0,7.0,12.0
243,Deitingen,5,6,14,18,27,43.0,67.0,106.0,1.0,2.0,3.0,5.0
244,Derendingen,9,12,17,16,24,31.0,40.0,52.0,2.0,3.0,4.0,5.0
245,Gerlafingen,6,10,15,16,32,50.0,78.0,121.0,2.0,3.0,5.0,8.0
246,Kriegstetten,3,3,4,8,11,16.0,22.0,32.0,2.0,3.0,4.0,6.0
247,Luterbach,5,4,6,8,18,26.0,39.0,57.0,2.0,3.0,4.0,6.0
248,Recherswil,1,1,4,11,20,48.0,114.0,274.0,1.0,2.0,5.0,12.0
249,Subingen,5,4,8,12,19,28.0,41.0,60.0,1.0,1.0,1.0,1.0
250,Zuchwil,7,7,16,19,53,96.0,175.0,317.0,4.0,7.0,13.0,24.0
251,Bellach,23,23,31,44,58,74.0,94.0,119.0,2.0,3.0,4.0,5.0
252,Flumenthal,2,2,2,2,3,3.0,4.0,4.0,1.0,1.0,1.0,1.0
253,Grenchen,18,24,43,49,77,112.0,164.0,239.0,2.0,3.0,4.0,6.0
254,Langendorf,2,2,1,6,17,44.0,113.0,293.0,2.0,5.0,13.0,34.0
255,Riedholz,6,8,11,15,21,29.0,39.0,54.0,1.0,1.0,1.0,1.0
256,Selzach,4,5,8,13,18,26.0,39.0,57.0,1.0,1.0,2.0,3.0
257,Däniken,2,3,8,13,24,46.0,88.0,167.0,1.0,2.0,4.0,8.0
258,Hägendorf,11,12,21,37,52,78.0,117.0,176.0,1.0,2.0,3.0,5.0
259,Olten,18,30,42,60,105,164.0,256.0,400.0,10.0,16.0,25.0,39.0
260,Schönenwerd,3,6,10,14,22,37.0,61.0,101.0,2.0,3.0,5.0,8.0
261,Solothurn,36,42,63,92,154,223.0,324.0,470.0,11.0,16.0,23.0,33.0
262,Breitenbach,6,10,13,15,25,36.0,52.0,76.0,1.0,1.0,1.0,1.0
263,Grindel,0,0,0,2,7,,,,1.0,,,
264,Nunningen,1,1,6,11,15,38.0,97.0,248.0,1.0,3.0,8.0,20.0
265,Basel,157,207,332,511,785,1177.0,1765.0,2646.0,5.0,7.0,10.0,15.0
266,Allschwil,18,28,36,57,102,158.0,246.0,382.0,4.0,6.0,9.0,14.0
267,Biel-Benken,5,8,11,16,36,60.0,100.0,168.0,2.0,3.0,5.0,8.0
268,Birsfelden,9,13,14,18,24,31.0,40.0,51.0,1.0,1.0,1.0,1.0
269,Bottmingen,12,16,28,42,67,103.0,160.0,247.0,1.0,2.0,3.0,5.0
270,Ettingen,7,8,13,17,29,42.0,61.0,88.0,1.0,1.0,1.0,1.0
271,Münchenstein,23,36,58,84,117,176.0,265.0,398.0,4.0,6.0,9.0,14.0
272,Muttenz,23,28,42,60,103,151.0,221.0,324.0,7.0,10.0,15.0,22.0
273,Schönenbuch,4,5,5,6,8,10.0,11.0,14.0,1.0,1.0,1.0,1.0
274,Therwil,21,23,29,38,70,96.0,133.0,183.0,3.0,4.0,6.0,8.0
275,Brislach,3,4,5,7,10,14.0,18.0,25.0,1.0,1.0,1.0,1.0
276,Duggingen,2,2,7,10,15,28.0,52.0,96.0,1.0,2.0,4.0,7.0
277,Grellingen,2,7,9,11,16,30.0,56.0,104.0,1.0,2.0,4.0,7.0
278,Laufen,12,17,26,32,40,54.0,74.0,100.0,3.0,4.0,5.0,7.0
279,Röschenz,2,3,3,6,12,20.0,32.0,51.0,3.0,5.0,8.0,13.0
280,Lausen,4,6,10,19,38,67.0,119.0,210.0,2.0,4.0,7.0,12.0
281,Liestal,37,64,85,115,170,250.0,368.0,543.0,1.0,1.0,1.0,1.0
282,Lupsingen,3,3,7,15,27,49.0,89.0,163.0,1.0,2.0,4.0,7.0
283,Pratteln,16,24,33,73,98,158.0,253.0,407.0,3.0,5.0,8.0,13.0
284,Böckten,4,8,10,12,15,21.0,30.0,43.0,1.0,1.0,1.0,1.0
285,Bretzwil,0,1,3,2,4,inf,inf,inf,1.0,inf,,
286,Neunkirch,1,4,6,11,19,43.0,97.0,221.0,1.0,2.0,5.0,11.0
287,Thayngen,9,12,17,25,42,62.0,91.0,135.0,1.0,1.0,1.0,1.0
288,Neuhausen am Rheinfall,12,19,26,34,50,72.0,103.0,147.0,5.0,7.0,10.0,14.0
289,Schaffhausen,47,73,110,160,266,411.0,634.0,980.0,14.0,22.0,34.0,53.0
290,Herisau,38,43,62,78,111,146.0,192.0,252.0,4.0,5.0,7.0,9.0
291,Urnäsch,1,1,1,2,4,6.0,9.0,14.0,2.0,3.0,4.0,6.0
292,Waldstatt,5,6,7,8,13,17.0,21.0,27.0,1.0,1.0,1.0,1.0
293,Gais,5,5,13,17,24,38.0,60.0,95.0,4.0,6.0,9.0,14.0
294,Speicher,9,16,23,23,41,61.0,92.0,138.0,4.0,6.0,9.0,14.0
295,Trogen,4,3,4,7,15,22.0,33.0,50.0,1.0,1.0,2.0,3.0
296,Heiden,9,9,11,17,30,41.0,57.0,79.0,1.0,1.0,1.0,1.0
297,Rehetobel,9,8,10,15,21,26.0,33.0,42.0,1.0,1.0,1.0,1.0
298,Appenzell,36,37,49,67,96,124.0,159.0,205.0,4.0,5.0,6.0,8.0
